Currency,Date,Open,High,Low,Close
CAD,05/07/2018,1.3131,1.316,1.3116,1.3122
CAD,04/07/2018,1.3166,1.3166,1.3112,1.3131
CAD,03/07/2018,1.3221,1.3221,1.3133,1.3166
CAD,02/07/2018,1.3153,1.3225,1.314,1.3221
CAD,29/06/2018,1.3254,1.3276,1.3131,1.3133
CAD,28/06/2018,1.3311,1.3386,1.3242,1.3254
CAD,27/06/2018,1.331,1.3327,1.3278,1.3311
CAD,26/06/2018,1.3317,1.3329,1.3281,1.331
CAD,25/06/2018,1.3276,1.3325,1.3265,1.3317
CAD,22/06/2018,1.3322,1.3382,1.3262,1.3269
CAD,21/06/2018,1.3305,1.3335,1.3285,1.3322
CAD,20/06/2018,1.3283,1.3311,1.3269,1.3305
CAD,19/06/2018,1.3231,1.3292,1.3193,1.3283
CAD,18/06/2018,1.319,1.3237,1.316,1.3231
CAD,15/06/2018,1.3077,1.3208,1.3076,1.3184
CAD,14/06/2018,1.2964,1.3082,1.295,1.3077
CAD,13/06/2018,1.2997,1.3047,1.2956,1.2964
CAD,12/06/2018,1.299,1.3019,1.2976,1.2997
CAD,11/06/2018,1.2971,1.3028,1.2956,1.299
CAD,08/06/2018,1.2976,1.3039,1.2922,1.2928
CAD,07/06/2018,1.2933,1.2995,1.2931,1.2976
CAD,06/06/2018,1.2993,1.2993,1.2859,1.2933
CAD,05/06/2018,1.2943,1.3067,1.2915,1.2993
CAD,04/06/2018,1.2949,1.2965,1.29,1.2943
CAD,01/06/2018,1.2956,1.3008,1.2932,1.2951
CAD,31/05/2018,1.2862,1.2991,1.2819,1.2956
CAD,30/05/2018,1.3026,1.304,1.2836,1.2862
CAD,29/05/2018,1.3007,1.3047,1.2969,1.3026
CAD,28/05/2018,1.2972,1.3022,1.296,1.3007
CAD,25/05/2018,1.289,1.2988,1.2871,1.2973
CAD,24/05/2018,1.2886,1.292,1.2826,1.289
CAD,23/05/2018,1.28,1.2916,1.28,1.2886
CAD,22/05/2018,1.2823,1.2823,1.2743,1.28
CAD,21/05/2018,1.288,1.2892,1.2805,1.2823
CAD,17/05/2018,1.2798,1.2822,1.275,1.2797
CAD,16/05/2018,1.2861,1.2877,1.2778,1.2798
CAD,15/05/2018,1.277,1.2925,1.2767,1.2861
CAD,14/05/2018,1.2783,1.2796,1.2751,1.277
CAD,11/05/2018,1.2776,1.28,1.273,1.2795
CAD,10/05/2018,1.2849,1.2862,1.2743,1.2776
CAD,09/05/2018,1.2959,1.2975,1.2833,1.2849
CAD,07/05/2018,1.2846,1.2891,1.284,1.2849
CAD,04/05/2018,1.285,1.2918,1.2836,1.2846
CAD,03/05/2018,1.2857,1.2909,1.2811,1.285
CAD,02/05/2018,1.2855,1.2886,1.2804,1.2857
CAD,27/04/2018,1.2825,1.2914,1.2816,1.2854
CAD,26/04/2018,1.2869,1.2883,1.2821,1.2863
CAD,25/04/2018,1.2828,1.2898,1.2817,1.2869
CAD,24/04/2018,1.284,1.2861,1.2813,1.2828
CAD,23/04/2018,1.2755,1.285,1.2747,1.284
CAD,20/04/2018,1.2645,1.2768,1.2633,1.2761
CAD,19/04/2018,1.2646,1.2659,1.2586,1.2645
CAD,18/04/2018,1.2533,1.266,1.2528,1.2646
CAD,17/04/2018,1.2575,1.2579,1.2529,1.2533
CAD,16/04/2018,1.26,1.2623,1.2571,1.2575
CAD,13/04/2018,1.2587,1.2618,1.2552,1.2608
CAD,12/04/2018,1.2573,1.2622,1.2562,1.2587
CAD,11/04/2018,1.2614,1.2624,1.2545,1.2573
CAD,10/04/2018,1.2706,1.2717,1.26,1.2614
