Currency,Date,Open,High,Low,Close
="JPY",="27/09/2019",="107.81",="108.18",="107.66",="107.92",
="JPY",="26/09/2019",="107.8",="107.88",="107.43",="107.81",
="JPY",="25/09/2019",="107.09",="107.88",="106.96",="107.8",
="JPY",="24/09/2019",="107.5",="107.8",="107.05",="107.09",
="JPY",="23/09/2019",="107.63",="107.8",="107.31",="107.5",
="JPY",="20/09/2019",="107.97",="108.09",="107.53",="107.56",
="JPY",="19/09/2019",="108.17",="108.48",="107.79",="107.97",
="JPY",="18/09/2019",="108.07",="108.27",="108.06",="108.17",
="JPY",="17/09/2019",="107.97",="108.37",="107.95",="108.07",
="JPY",="16/09/2019",="107.64",="108.1",="107.46",="107.97",
="JPY",="13/09/2019",="107.64",="107.92",="107.46",="107.82",
="JPY",="12/09/2019",="107.77",="108.17",="107.52",="108.03",
="JPY",="11/09/2019",="107.46",="107.85",="107.37",="107.77",
="JPY",="09/09/2019",="107.05",="107.5",="107.03",="107.46",
="JPY",="06/09/2019",="106.94",="107.1",="106.62",="106.92",
="JPY",="05/09/2019",="106.3",="107.23",="106.24",="106.94",
="JPY",="04/09/2019",="105.87",="106.34",="105.83",="106.3",
="JPY",="03/09/2019",="106.14",="106.39",="105.74",="105.87",
="JPY",="30/08/2019",="106.11",="106.4",="105.91",="106.14",
="JPY",="29/08/2019",="105.96",="106.59",="105.83",="106.57",
="JPY",="28/08/2019",="105.73",="105.97",="105.65",="105.96",
="JPY",="27/08/2019",="106.12",="106.3",="105.59",="105.73",
="JPY",="26/08/2019",="105.13",="106.41",="104.46",="106.12",
="JPY",="23/08/2019",="106.44",="106.74",="105.26",="105.39",
="JPY",="22/08/2019",="106.45",="106.65",="106.25",="106.44",
="JPY",="21/08/2019",="106.31",="106.6",="106.19",="106.45",
="JPY",="20/08/2019",="106.54",="106.69",="106.16",="106.31",
="JPY",="19/08/2019",="106.32",="106.7",="106.22",="106.54",
="JPY",="16/08/2019",="106.11",="106.49",="105.8",="106.38",
