Currency,Date,Open,High,Low,Close
EUR,10/08/2009,1.4193,1.4219,1.4105,1.414
EUR,07/08/2009,1.4345,1.4414,1.4155,1.4183
EUR,06/08/2009,1.4404,1.4431,1.433,1.4345
EUR,05/08/2009,1.4408,1.4447,1.4356,1.4404
EUR,04/08/2009,1.4413,1.4431,1.4368,1.4408
EUR,03/08/2009,1.4272,1.4445,1.4207,1.4412
EUR,31/07/2009,1.4075,1.4279,1.4064,1.4257
EUR,30/07/2009,1.405,1.4095,1.4009,1.4075
EUR,29/07/2009,1.4167,1.4195,1.4008,1.405
EUR,28/07/2009,1.4231,1.4304,1.4131,1.4167
EUR,27/07/2009,1.4212,1.4298,1.4172,1.4232
EUR,24/07/2009,1.4143,1.4254,1.4135,1.4202
EUR,23/07/2009,1.422,1.4291,1.412,1.4143
EUR,22/07/2009,1.4226,1.4257,1.4156,1.422
EUR,21/07/2009,1.4231,1.4277,1.4164,1.4226
EUR,20/07/2009,1.4105,1.4249,1.4095,1.4231
EUR,17/07/2009,1.4148,1.4151,1.4064,1.4102
EUR,16/07/2009,1.4107,1.4165,1.4056,1.4148
EUR,15/07/2009,1.3967,1.4135,1.3964,1.4107
EUR,14/07/2009,1.3978,1.4015,1.3912,1.3967
EUR,13/07/2009,1.3947,1.4002,1.3898,1.3978
EUR,10/07/2009,1.402,1.403,1.3879,1.3936
EUR,09/07/2009,1.3884,1.4072,1.3859,1.402
EUR,08/07/2009,1.3924,1.3938,1.3833,1.3884
EUR,07/07/2009,1.3984,1.4051,1.3904,1.3924
EUR,06/07/2009,1.397,1.3999,1.3877,1.3984
EUR,03/07/2009,1.4003,1.4028,1.3929,1.398
EUR,02/07/2009,1.4142,1.4154,1.3989,1.4003
EUR,01/07/2009,1.4033,1.4201,1.4002,1.4142
EUR,30/06/2009,1.4083,1.4152,1.4001,1.4033
EUR,29/06/2009,1.4053,1.4103,1.3983,1.4083
EUR,26/06/2009,1.3988,1.4118,1.3983,1.4056
EUR,25/06/2009,1.393,1.4013,1.3889,1.3988
EUR,24/06/2009,1.4077,1.4138,1.3889,1.393
EUR,23/06/2009,1.3865,1.4108,1.3829,1.4077
EUR,22/06/2009,1.3949,1.3963,1.3827,1.3865
EUR,19/06/2009,1.39,1.4012,1.3883,1.3937
EUR,18/06/2009,1.3942,1.4001,1.3872,1.39
EUR,17/06/2009,1.3837,1.3985,1.3807,1.3942
EUR,16/06/2009,1.3803,1.3933,1.3749,1.3837
EUR,15/06/2009,1.4017,1.4033,1.3756,1.3803
EUR,12/06/2009,1.4108,1.4129,1.3936,1.4016
EUR,11/06/2009,1.3984,1.4178,1.3944,1.4108
EUR,10/06/2009,1.4065,1.4144,1.3916,1.3984
EUR,09/06/2009,1.39,1.4101,1.3853,1.4065
EUR,08/06/2009,1.3963,1.4003,1.3806,1.39
EUR,05/06/2009,1.4183,1.4267,1.3933,1.3968
EUR,04/06/2009,1.4162,1.4241,1.4071,1.4183
EUR,03/06/2009,1.4303,1.4338,1.4109,1.4162
EUR,02/06/2009,1.4159,1.4331,1.4102,1.4303
EUR,01/06/2009,1.4163,1.4246,1.41,1.4159
EUR,29/05/2009,1.3941,1.4169,1.3926,1.4158
EUR,28/05/2009,1.3826,1.3983,1.3793,1.3941
EUR,27/05/2009,1.3984,1.4001,1.3824,1.3825
EUR,26/05/2009,1.4017,1.4023,1.386,1.3984
EUR,25/05/2009,1.3993,1.4048,1.3959,1.4017
EUR,22/05/2009,1.389,1.4051,1.389,1.3998
EUR,21/05/2009,1.378,1.3923,1.3728,1.389
EUR,20/05/2009,1.363,1.383,1.3584,1.378
EUR,19/05/2009,1.3561,1.3668,1.3531,1.363
EUR,18/05/2009,1.348,1.3563,1.3424,1.3562
EUR,15/05/2009,1.3639,1.365,1.3462,1.3495
EUR,14/05/2009,1.36,1.3665,1.3526,1.3639
EUR,13/05/2009,1.3648,1.3722,1.3567,1.36
EUR,12/05/2009,1.3582,1.3707,1.3564,1.3648
EUR,11/05/2009,1.3627,1.3668,1.3558,1.3582
EUR,08/05/2009,1.339,1.3651,1.3343,1.3634
EUR,07/05/2009,1.3334,1.347,1.3252,1.339
EUR,06/05/2009,1.333,1.3375,1.3247,1.3334
EUR,05/05/2009,1.3406,1.3438,1.3283,1.333
EUR,04/05/2009,1.3264,1.3425,1.3213,1.3406
EUR,01/05/2009,1.323,1.3328,1.3218,1.3273
EUR,30/04/2009,1.3271,1.3386,1.3192,1.323
EUR,29/04/2009,1.3149,1.334,1.3121,1.3271
EUR,28/04/2009,1.3036,1.3166,1.2965,1.3149
EUR,27/04/2009,1.3229,1.3274,1.3,1.3036
EUR,24/04/2009,1.3144,1.3301,1.3113,1.3242
EUR,23/04/2009,1.3005,1.3161,1.298,1.3144
EUR,22/04/2009,1.2948,1.3037,1.2886,1.3005
EUR,21/04/2009,1.2921,1.2994,1.2898,1.2948
EUR,20/04/2009,1.305,1.3074,1.2889,1.2921
EUR,17/04/2009,1.3186,1.3197,1.3018,1.3044
